,price,model_year,manufacturer,model,date_posted,days_listed,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,age
197,10000,2006,ford,f-150,2018-07-17,9,excellent,8.0,gas,181000,automatic,truck,silver,1.0,18
198,17999,2008,gmc,sierra 2500hd,2018-05-06,46,excellent,8.0,diesel,101959,automatic,truck,white,1.0,16
202,28200,2012,ford,f-350 sd,2018-07-15,30,excellent,8.0,diesel,129000,automatic,truck,black,1.0,12
204,22914,2015,bmw,x5,2018-08-11,19,excellent,6.0,gas,69686,automatic,SUV,white,1.0,9
205,19900,2013,ford,f-150,2018-10-30,42,excellent,6.0,gas,79657,automatic,truck,silver,1.0,11
207,24495,2016,ford,explorer,2018-11-17,49,excellent,6.0,gas,50123,automatic,SUV,white,1.0,8
209,22900,2015,gmc,sierra 1500,2018-05-15,24,excellent,8.0,gas,85190,automatic,truck,custom,1.0,9
210,14685,2011,toyota,tacoma,2019-01-03,8,excellent,6.0,gas,145671,automatic,truck,black,1.0,13
211,24869,2015,gmc,sierra 1500,2019-03-20,23,excellent,8.0,gas,82056,automatic,truck,black,1.0,9
214,7800,2012,chevrolet,traverse,2018-11-30,4,good,6.0,gas,157000,automatic,SUV,blue,1.0,12
215,12500,2009,cadillac,escalade,2018-10-01,26,excellent,8.0,gas,159000,automatic,SUV,other,1.0,15
220,41800,2018,chevrolet,silverado 3500hd,2019-03-19,11,good,8.0,gas,148459,automatic,truck,other,1.0,6
221,10800,2015,toyota,camry,2018-09-25,24,excellent,4.0,gas,28150,automatic,sedan,black,1.0,9
223,7995,2008,jeep,grand cherokee,2018-05-23,23,excellent,6.0,gas,104613,automatic,SUV,silver,1.0,16
224,22500,2013,ford,f-250 sd,2019-03-03,32,good,8.0,gas,128415,automatic,truck,green,1.0,11
229,6995,2011,hyundai,sonata,2019-02-26,20,excellent,4.0,gas,117371,automatic,sedan,grey,1.0,13
233,25800,2015,toyota,tacoma,2018-07-24,39,like new,6.0,gas,49900,automatic,pickup,white,1.0,9
237,7100,2004,ford,f-150,2019-03-10,23,good,8.0,gas,121000,automatic,truck,other,1.0,20
240,6500,2009,ford,f-250,2018-09-09,19,good,8.0,gas,113000,automatic,pickup,white,1.0,15
242,1500,2001,jeep,grand cherokee,2018-10-15,56,good,6.0,gas,185000,automatic,SUV,black,1.0,23
243,9799,2017,nissan,altima,2018-06-23,35,excellent,4.0,gas,51153,automatic,sedan,silver,1.0,7
245,5700,2002,chevrolet,silverado 1500,2018-06-17,68,good,8.0,gas,105000,automatic,pickup,silver,1.0,22
251,3750,2007,jeep,grand cherokee laredo,2018-06-29,50,fair,6.0,gas,131800,automatic,SUV,grey,1.0,17
253,7995,2011,subaru,forester,2019-02-12,53,good,4.0,gas,112000,automatic,SUV,blue,1.0,13
256,9100,2014,kia,sorento,2018-08-30,74,good,4.0,gas,100100,automatic,SUV,silver,1.0,10
258,18675,2015,ram,1500,2018-11-11,7,good,8.0,gas,86115,automatic,truck,other,1.0,9
264,13889,2005,gmc,sierra 2500hd,2018-07-13,37,good,8.0,gas,95914,automatic,truck,custom,1.0,19
267,3250,2001,ford,f150,2018-12-07,24,fair,8.0,gas,296000,automatic,truck,black,1.0,23
268,28200,2012,ford,f-350 sd,2018-09-26,28,excellent,8.0,diesel,129000,automatic,truck,black,1.0,12
269,15900,2016,ford,escape,2018-12-09,48,excellent,4.0,gas,19764,automatic,SUV,other,1.0,8
271,22914,2015,bmw,x5,2018-07-07,9,excellent,6.0,gas,69686,automatic,SUV,white,1.0,9
272,22900,2015,gmc,sierra 1500,2018-08-24,11,excellent,8.0,gas,85190,automatic,truck,other,1.0,9
273,19900,2013,ford,f-150,2019-03-01,4,excellent,6.0,gas,79657,automatic,truck,silver,1.0,11
275,24869,2015,gmc,sierra 1500,2018-06-29,22,excellent,8.0,gas,82056,automatic,truck,black,1.0,9
276,22399,2011,gmc,sierra 2500hd,2018-05-17,66,excellent,8.0,gas,121047,automatic,pickup,other,1.0,13
278,17379,2007,jeep,wrangler,2018-12-26,50,excellent,6.0,gas,111921,automatic,SUV,other,1.0,17
282,10900,2012,toyota,tacoma,2018-10-10,46,excellent,4.0,gas,132000,manual,pickup,red,1.0,12
286,35999,2015,ram,2500,2018-12-13,59,good,6.0,diesel,157558,automatic,truck,grey,1.0,9
287,31999,2011,ram,3500,2018-11-21,64,good,6.0,diesel,148128,automatic,truck,other,1.0,13
288,28999,2012,ram,2500,2018-07-22,51,good,6.0,diesel,146875,automatic,truck,silver,1.0,12
289,32999,2012,ram,3500,2018-10-26,58,good,6.0,diesel,126201,automatic,truck,silver,1.0,12
290,7800,2010,nissan,frontier,2018-08-06,55,excellent,6.0,gas,160266,automatic,truck,red,1.0,14
291,14999,2016,honda,cr-v,2018-08-10,66,excellent,4.0,gas,32000,automatic,SUV,grey,1.0,8
292,19999,2015,gmc,sierra,2019-04-01,63,excellent,8.0,gas,43000,automatic,truck,white,1.0,9
295,15600,2016,subaru,outback,2018-05-08,40,excellent,4.0,gas,106700,automatic,wagon,black,1.0,8
301,14999,2013,ford,f-150,2018-05-02,23,good,6.0,gas,52520,automatic,truck,white,1.0,11
307,24900,2016,chevrolet,silverado 1500,2019-01-29,5,excellent,8.0,gas,32000,automatic,truck,silver,1.0,8
313,12750,2011,gmc,sierra 2500hd,2018-10-28,29,good,8.0,gas,226000,automatic,truck,white,1.0,13
320,5500,2017,ford,explorer,2019-03-01,10,excellent,6.0,gas,25000,automatic,SUV,grey,1.0,7
323,30000,2015,jeep,wrangler unlimited,2019-03-28,31,excellent,6.0,gas,13365,automatic,SUV,white,1.0,9
324,15250,2011,ford,f-150,2019-03-30,37,excellent,8.0,gas,97000,automatic,truck,grey,1.0,13
327,9700,2000,toyota,4runner,2018-11-10,17,excellent,6.0,gas,200116,automatic,SUV,other,1.0,24
329,4500,2009,jeep,liberty,2019-01-23,16,good,6.0,gas,171000,automatic,SUV,black,1.0,15
333,5900,2007,ram,2500,2018-07-10,61,good,8.0,gas,229000,automatic,pickup,white,1.0,17
340,12995,2009,chevrolet,suburban,2018-12-17,32,excellent,8.0,gas,157976,automatic,SUV,white,1.0,15
343,4000,2005,honda,pilot,2018-05-12,8,excellent,6.0,gas,167000,automatic,SUV,red,1.0,19
345,19995,2012,chevrolet,tahoe,2019-03-28,61,good,8.0,gas,129516,automatic,SUV,other,1.0,12
348,1900,1999,ford,ranger,2018-08-02,26,excellent,6.0,gas,191135,automatic,truck,yellow,1.0,25
349,5999,2002,bmw,x5,2018-05-23,82,excellent,6.0,gas,153000,automatic,SUV,white,1.0,22
352,7997,2009,gmc,yukon,2019-03-16,88,excellent,8.0,gas,0,automatic,SUV,white,1.0,15
353,28000,2017,chevrolet,silverado,2019-01-17,91,like new,8.0,gas,53000,automatic,truck,white,1.0,7
355,25000,2015,chevrolet,silverado,2019-03-08,75,good,8.0,gas,150000,automatic,truck,white,1.0,9
356,4000,2002,ford,escape,2019-01-27,11,good,6.0,gas,98000,automatic,SUV,silver,1.0,22
359,12500,2017,subaru,impreza,2019-02-18,78,like new,4.0,gas,25000,automatic,wagon,grey,1.0,7
360,44900,2017,gmc,sierra 2500hd,2018-06-10,89,good,8.0,diesel,23455,automatic,pickup,other,1.0,7
